"","x","y"
"mage6.62.30.27.27.10",0.0481499999999995,0.295320000000001
"mage6.62.30.27.27.11",0.0567100000000001,0.340260000000001
"mage6.62.30.27.27.12",0.15729,0.527510000000001
"mage6.62.30.27.27.13",0.11984,0.35738
"mage6.62.30.27.27.14",0.16157,0.527510000000001
"mage6.62.30.27.27.15",0.31779,0.527510000000001
"mage6.62.30.27.27.16",0.19902,0.557470000000001
"mage6.62.30.27.27.17",0.144449999999999,0.42158
"mage6.62.30.27.27.18",0.11877,0.396970000000001
"mage6.62.30.27.27.19",0.12412,0.25038
"mage6.62.30.27.27.20",0.15836,0.19688
"mage6.62.30.27.27.21",0.23433,0
"mage6.62.30.27.27.22",0.0930899999999997,0.0984400000000002
"mage6.62.30.27.27.23",0.193669999999999,0.11663
"mage6.62.30.27.27.24",0.0278199999999998,0.39162
"mage6.62.30.27.27.25",0.27713,0.21186
"mage6.62.30.27.27.26",0.21507,0.248240000000001
"mage6.62.30.27.27.27",0.33705,0.33384
"mage6.62.30.27.27.28",0.47508,0.533930000000001
"mage6.62.30.27.27.29",0.46759,0.55319
"mage6.62.30.27.27.30",0.63986,0.84958
"mage6.66.2.28.28.1",0,0
"mage6.66.2.28.28.2",0.0192599999999992,0
"mage6.67.2.29.29.1",0.0791800000000002,0.175479999999999
"mage6.67.2.29.29.2",0,0
"mage6.69.2.30.30.1",0,0.19902
"mage6.69.2.30.30.2",0.0567100000000001,0
"mage6.79.3.31.31.1",0,0.202229999999999
"mage6.79.3.31.31.2",0.0588499999999997,0
"mage6.79.3.31.31.3",0.0813199999999998,0.0577799999999999
"mage6.87.3.32.32.1",0,0.00856000000000058
"mage6.87.3.32.32.2",0.2247,0.0524300000000002
"mage6.87.3.32.32.3",0.4066,0
"mage6.87.2.33.33.1",0,0
"mage6.87.2.33.33.2",0.20865,0.1498
"mage6.90.2.34.34.1",0.11128,0
"mage6.90.2.34.34.2",0,0.148729999999999
"mage6.93.2.35.35.1",0.0567100000000001,0
"mage6.93.2.35.35.2",0,0.0139099999999995
"mage6.96.3.36.36.1",0.10058,0.23433
"mage6.96.3.36.36.2",0,0.12198
"mage6.96.3.36.36.3",0.31137,0
"mage6.98.13.37.37.1",0.324209999999999,0.34133
"mage6.98.13.37.37.2",0.11449,0.27713
"mage6.98.13.37.37.3",0.178689999999999,0.132679999999999
"mage6.98.13.37.37.4",0.1391,0.138030000000001
